date;stationID;typeflag
01/16/2024 21:30:20;BremenNext;start_of_ad
01/16/2024 21:30:34;1Live;end_of_ad
01/16/2024 21:30:42;BremenNext;end_of_ad
01/16/2024 21:30:46;BremenNext;start_of_ad
01/16/2024 21:31:00;BremenNext;end_of_ad
01/16/2024 21:31:03;Antenne AC;end_of_ad_artificial
01/16/2024 21:31:44;1Live;start_of_ad
01/16/2024 21:32:20;BremenNext;start_of_ad
01/16/2024 21:32:54;1Live;end_of_ad
01/16/2024 21:33:01;100,5;end_of_ad_artificial
01/16/2024 21:33:02;1Live;start_of_ad
01/16/2024 21:33:26;1Live;end_of_ad
01/16/2024 21:33:30;1Live;start_of_ad
01/16/2024 21:33:40;BremenNext;end_of_ad
01/16/2024 21:34:06;1Live;end_of_ad
01/16/2024 21:34:11;BremenNext;start_of_ad
01/16/2024 21:34:38;1Live;start_of_ad
01/16/2024 21:34:51;1Live;end_of_ad
01/16/2024 21:35:06;Radio RST;start_of_ad
01/16/2024 21:35:19;1Live;start_of_ad
01/16/2024 21:35:21;WDR 2;start_of_ad
01/16/2024 21:35:22;BAYERN 1;start_of_ad
01/16/2024 21:35:22;BremenNext;end_of_ad
01/16/2024 21:35:34;1Live;end_of_ad
01/16/2024 21:35:35;BremenNext;start_of_ad
01/16/2024 21:35:52;1Live;start_of_ad
01/16/2024 21:35:53;BremenNext;end_of_ad
01/16/2024 21:36:07;BremenNext;start_of_ad
01/16/2024 21:36:12;Antenne AC;start_of_ad
01/16/2024 21:36:20;BremenNext;end_of_ad
01/16/2024 21:36:20;1Live;end_of_ad
01/16/2024 21:36:24;BremenNext;start_of_ad
01/16/2024 21:36:47;BremenNext;end_of_ad
01/16/2024 21:37:00;BremenNext;start_of_ad
01/16/2024 21:37:01;1Live;start_of_ad
01/16/2024 21:37:22;BremenNext;end_of_ad
01/16/2024 21:37:35;BremenNext;start_of_ad
01/16/2024 21:37:37;1Live;end_of_ad
01/16/2024 21:37:47;1Live;start_of_ad
01/16/2024 21:37:49;BremenNext;end_of_ad
01/16/2024 21:37:53;BremenNext;start_of_ad
01/16/2024 21:38:01;Radio RST;end_of_ad_artificial
01/16/2024 21:38:02;WDR 2;end_of_ad_artificial
01/16/2024 21:38:03;BAYERN 1;end_of_ad_artificial
01/16/2024 21:38:06;1Live;end_of_ad
01/16/2024 21:38:15;1Live;start_of_ad
01/16/2024 21:38:29;1Live;end_of_ad
01/16/2024 21:38:29;BremenNext;end_of_ad
01/16/2024 21:38:33;1Live;start_of_ad
01/16/2024 21:38:33;BremenNext;start_of_ad
01/16/2024 21:38:40;100,5;start_of_ad
01/16/2024 21:39:02;Antenne AC;end_of_ad_artificial
