date;stationID;interpret;title
01/02/2024 09:06:19 PM;dashitradio;Santana;Maria Maria
01/02/2024 09:06:34 PM;dashitradio;Thirty Seconds To Mars;Seasons
01/02/2024 09:06:49 PM;bremennext;Doja Cat;Paint The Town Red
01/02/2024 09:08:01 PM;1live;Jungle;Back On 74
01/02/2024 09:08:47 PM;1live;Jack Harlow;Lovin On Me
01/02/2024 09:09:02 PM;bayern1main;Scorpions;Is There Anybody There?
01/02/2024 09:09:17 PM;dashitradio;Welshly Arms;Legendary
01/02/2024 09:10:39 PM;bremennext;Bounty & Cocoa;Stadt Gespräch
01/02/2024 11:51:19 PM;1live;Taylor Swift;Is It Over Now? (Taylor's Version) (From The Vault)
01/02/2024 11:51:19 PM;dashitradio;Nico Santos;Number 1
01/02/2024 11:51:19 PM;bayern1main;Phil Collins;Everyday
01/02/2024 11:51:19 PM;bremennext;DJ JEEZY mit Shindy;Red Hot
01/02/2024 11:52:26 PM;bayern1main;Animotion;I Engineer
01/02/2024 11:52:26 PM;bremennext;Marshmello mit Demi Lovato;Ok Not To Be Ok
01/02/2024 11:52:26 PM;dashitradio;Cameo;Word Up
01/02/2024 11:54:27 PM;bremennext;Artemas;Cross My Heart
01/02/2024 11:54:42 PM;1live;Joel Corry feat MNEK;Head & Heart
01/02/2024 11:55:12 PM;1live;Tove Lo feat. Hippie Sabotage;Habits (Stay High) (Habits Remix)
01/02/2024 11:55:57 PM;bayern1main;Sunrise Avenue;Lifesaver
01/03/2024 12:10:30 AM;dashitradio;Alec Benjamin;Let Me Down Slowly
01/03/2024 12:10:30 AM;bayern1main;Communards;Never Can Say Goodbye
01/03/2024 12:10:30 AM;bremennext;Selena Gomez;Single Soon
01/03/2024 12:10:30 AM;1live;OneRepublic;Runaway
01/03/2024 12:11:15 AM;1live;Jason Derulo;Want To Want Me
01/03/2024 12:11:45 AM;bayern1main;Abba;Don't Shut Me Down
01/03/2024 12:12:33 AM;dashitradio;Sia;Gimme Love
01/03/2024 12:13:03 AM;bremennext;Matt Sassari;Give It To Me (Full Vocal Mix)
01/03/2024 12:18:52 AM;1live;Axwell / Ingrosso;More Than You Know
01/03/2024 12:18:52 AM;dashitradio;Alvaro Soler;Muero
01/03/2024 12:18:52 AM;bayern1main;Michael Jackson;Leave Me Alone
01/03/2024 12:18:52 AM;bremennext;Sza mit Justin Timberlake;The Other Side (From Trolls World Tour)
