date;stationName;typeflag
01/18/2024 19:56:00;Antenne AC;start_of_ad
01/18/2024 19:58:49;Radio RST;end_of_ad_artificial
01/18/2024 19:59:02;Antenne AC;end_of_ad_artificial
01/18/2024 20:57:45;Radio RST;start_of_ad
01/18/2024 20:57:58;Antenne AC;start_of_ad
01/18/2024 21:00:48;Radio RST;end_of_ad_artificial
01/18/2024 21:01:01;Antenne AC;end_of_ad_artificial
01/19/2024 05:23:34;Radio RST;start_of_ad
01/19/2024 05:26:37;Radio RST;end_of_ad_artificial
01/19/2024 05:55:40;Antenne AC;start_of_ad
01/19/2024 05:55:52;Radio RST;start_of_ad
01/19/2024 05:57:42;BAYERN 1;start_of_ad
01/19/2024 05:58:43;Antenne AC;end_of_ad_artificial
01/19/2024 05:58:55;Radio RST;end_of_ad_artificial
01/19/2024 06:00:47;BAYERN 1;end_of_ad_artificial
01/19/2024 06:19:02;Antenne AC;start_of_ad
01/19/2024 06:22:05;Antenne AC;end_of_ad_artificial
01/19/2024 06:22:47;100,5;start_of_ad
01/19/2024 06:25:41;BremenNext;start_of_ad
01/19/2024 06:25:50;100,5;end_of_ad_artificial
01/19/2024 06:26:17;Radio RST;start_of_ad
01/19/2024 06:28:36;BAYERN 1;start_of_ad
01/19/2024 06:28:46;WDR 2;start_of_ad
01/19/2024 06:29:19;Radio RST;end_of_ad_artificial
01/19/2024 06:31:37;BAYERN 1;end_of_ad_artificial
01/19/2024 06:31:42;BremenNext;end_of_ad_artificial
01/19/2024 06:31:48;WDR 2;end_of_ad_artificial
01/19/2024 06:49:57;100,5;start_of_ad
01/19/2024 06:53:01;100,5;end_of_ad_artificial
01/19/2024 06:53:31;Radio RST;start_of_ad
01/19/2024 06:53:41;Antenne AC;start_of_ad
01/19/2024 06:53:41;1Live;start_of_ad
01/19/2024 06:56:34;Radio RST;end_of_ad_artificial
01/19/2024 06:56:44;Antenne AC;end_of_ad_artificial
01/19/2024 06:57:08;1Live;end_of_ad
01/19/2024 06:58:01;WDR 2;start_of_ad
01/19/2024 06:58:47;BAYERN 1;start_of_ad
01/19/2024 07:01:04;WDR 2;end_of_ad_artificial
01/19/2024 07:01:49;BAYERN 1;end_of_ad_artificial
01/19/2024 07:23:39;Antenne AC;start_of_ad
01/19/2024 07:23:41;BremenNext;start_of_ad
01/19/2024 07:26:11;Radio RST;start_of_ad
01/19/2024 07:26:42;WDR 2;start_of_ad
01/19/2024 07:26:42;Antenne AC;end_of_ad_artificial
01/19/2024 07:28:49;BAYERN 1;start_of_ad
01/19/2024 07:29:15;Radio RST;end_of_ad_artificial
01/19/2024 07:29:43;WDR 2;end_of_ad_artificial
01/19/2024 07:29:44;BremenNext;end_of_ad_artificial
01/19/2024 07:31:53;BAYERN 1;end_of_ad_artificial
01/19/2024 07:48:44;100,5;start_of_ad
01/19/2024 07:51:47;100,5;end_of_ad_artificial
01/19/2024 07:53:06;Antenne AC;start_of_ad
01/19/2024 07:53:10;BremenNext;start_of_ad
01/19/2024 07:54:36;1Live;start_of_ad
01/19/2024 07:54:53;BremenNext;end_of_ad
01/19/2024 07:56:09;Antenne AC;end_of_ad_artificial
01/19/2024 07:57:44;WDR 2;start_of_ad
01/19/2024 07:58:13;BAYERN 1;start_of_ad
01/19/2024 08:00:39;1Live;end_of_ad_artificial
01/19/2024 08:00:47;WDR 2;end_of_ad_artificial
01/19/2024 08:01:15;BAYERN 1;end_of_ad_artificial
01/19/2024 08:24:27;Antenne AC;start_of_ad
01/19/2024 08:25:41;Radio RST;start_of_ad
